This	O
was	O
an	O
indictment	LEGAL_ACTION
for	O
rape	O
committed	O
on	O
the	O
person	O
of	O
Sally	PERSON
Hall	PERSON
,	O
to	O
which	O
the	O
defendant	O
plead	O
not	LEGAL_ACTION
guilty	LEGAL_ACTION
,	O
and	O
there	O
was	O
a	O
trial	LEGAL_ACTION
by	O
jury	LEGAL_POSITION
composed	O
of	O
Richmond	O
Peeler	O
,	O
Charles	PERSON
Roberts	PERSON
,	O
Manuel	PERSON
Roderigue	PERSON
,	O
John	PERSON
Jordolas	PERSON
,	O
Jacques	PERSON
Gocio	PERSON
,	O
Stephen	PERSON
Vasseau	PERSON
,	O
Nathal	O
Yasseau	O
,	O
Michael	PERSON
Petterson	PERSON
,	O
John	PERSON
Pertua	PERSON
,	O
Manuel	PERSON
Pertua	PERSON
,	O
Pierre	PERSON
Mitchell	PERSON
,	O
and	O
Attica	PERSON
Nodal	PERSON
,	O
who	O
,	O
after	O
hearing	O
evidence	O
and	O
arguments	O
of	O
counsel	O
,	O
retired	O
to	O
consult	O
of	O
their	O
verdict	LEGAL_ACTION
,	O
and	O
,	O
after	O
deliberation	O
,	O
returned	O
into	O
court	COURT_TYPE
the	O
following	O
,	O
namely	O
,	O
We	O
,	O
the	O
jury	LEGAL_POSITION
,	O
find	O
the	O
defendant	O
guilty	LEGAL_ACTION
of	O
rape	O
,	O
in	O
manner	O
and	O
form	O
as	O
in	O
the	O
indictment	LEGAL_ACTION
alleged	O
.	O
The	O
counsel	O
for	O
the	O
prisoner	O
moved	O
in	O
arrest	O
of	O
judgment	LEGAL_ACTION
for	O
the	O
following	O
reasons	O
.	O
1	O
.	O
It	O
does	O
not	LEGAL_ACTION
appear	O
by	O
the	O
indictment	LEGAL_ACTION
that	O
the	O
same	O
was	O
found	O
by	O
the	O
grand	LEGAL_POSITION
jurors	O
of	O
the	O
United	O
States	O
.	O
2	O
.	O
No	O
place	O
is	O
mentioned	O
in	O
the	O
indictment	LEGAL_ACTION
where	O
the	O
offence	O
was	O
committed	O
,	O
nor	O
is	O
it	O
mentioned	O
in	O
what	O
year	O
it	O
was	O
committed	O
.	O
3	O
.	O
The	O
assault	O
and	O
rape	O
are	O
not	LEGAL_ACTION
positively	O
and	O
directly	O
charged	O
in	O
the	O
indictment	LEGAL_ACTION
.	O
4	O
.	O
It	O
is	O
not	LEGAL_ACTION
stated	O
to	O
have	O
been	O
committed	O
with	O
force	O
and	O
arms	O
.	O
5	O
.	O
It	O
is	O
not	LEGAL_ACTION
stated	O
to	O
have	O
been	O
feloniously	O
committed	O
.	O
6	O
.	O
It	O
is	O
not	LEGAL_ACTION
alleged	O
in	O
the	O
indictment	LEGAL_ACTION
that	O
Sally	PERSON
Hall	PERSON
was	O
in	O
the	O
peace	O
of	O
God	O
and	O
the	O
United	O
States	O
when	O
the	O
offence	O
is	O
alleged	O
to	O
have	O
been	O
committed	O
.	O
7	O
.	O
Two	O
offences	O
,	O
which	O
are	O
inconsistent	O
with	O
each	O
other	O
,	O
are	O
alleged	O
to	O
have	O
been	O
committed	O
at	O
the	O
same	O
time	O
,	O
in	O
the	O
indictment	LEGAL_ACTION
,	O
namely	O
,	O
rape	O
on	O
Sally	PERSON
Hall	PERSON
,	O
and	O
the	O
getting	O
her	O
with	O
child	O
.	O
1	O
8	O
.	O
The	O
place	O
of	O
residence	O
and	O
occupation	O
of	O
the	O
accused	LEGAL_POSITION
is	O
not	LEGAL_ACTION
mentioned	O
in	O
the	O
indictment	LEGAL_ACTION
.	O
9	O
.	O
It	O
appears	O
by	O
the	O
record	O
that	O
H	PERSON
.	O
Armstrong	PERSON
was	O
foreman	O
of	O
the	O
grand	LEGAL_POSITION
jury	LEGAL_POSITION
who	O
found	O
the	O
bill	O
of	O
indictment	LEGAL_ACTION
,	O
and	O
that	O
II	PERSON
.	O
Armstrong	PERSON
is	O
not	LEGAL_ACTION
a	O
competent	O
juror	LEGAL_POSITION
,	O
not	LEGAL_ACTION
having	O
resided	O
twelve	O
months	O
in	O
this	O
territory	O
.	O
10	O
.	O
Three	O
jurors	O
were	O
dismissed	LEGAL_ACTION
by	O
the	O
court	COURT_TYPE
after	O
they	O
were	O
sworn	O
,	O
and	O
before	O
they	O
found	O
a	O
verdict	LEGAL_ACTION
,	O
as	O
appears	O
from	O
the	O
record	O
.	O
2	O
The	O
Court	O
overruled	LEGAL_ACTION
the	O
motion	LEGAL_ACTION
,	O
and	O
said	O
that	O
some	O
of	O
the	O
reasons	O
urged	O
in	O
arrest	O
of	O
judgment	LEGAL_ACTION
were	O
not	LEGAL_ACTION
sustained	O
by	O
the	O
record	O
;	O
that	O
others	O
were	O
not	LEGAL_ACTION
proper	O
grounds	O
in	O
arrest	O
of	O
judgment	LEGAL_ACTION
,	O
and	O
that	O
some	O
had	O
not	LEGAL_ACTION
been	O
presented	O
at	O
the	O
proper	O
time	O
nor	O
in	O
a	O
proper	O
manner	O
,	O
if	O
good	O
at	O
all	O
.	O
The	O
prisoner	O
being	O
asked	O
if	O
he	O
had	O
any	O
objection	LEGAL_ACTION
why	O
sentence	O
should	O
not	LEGAL_ACTION
be	O
pronounced	O
against	O
him	O
on	O
the	O
verdict	LEGAL_ACTION
of	O
the	O
jury	LEGAL_POSITION
,	O
said	O
,	O
that	O
he	O
objected	O
to	O
any	O
sentence	O
,	O
because	O
he	O
was	O
advised	O
that	O
the	O
indictment	LEGAL_ACTION
did	O
not	LEGAL_ACTION
properly	O
charge	LEGAL_ACTION
the	O
commission	O
of	O
a	O
felony	OFFENSE_TYPE
.	O
The	O
court	COURT_TYPE
disregarded	O
his	O
objection	LEGAL_ACTION
,	O
and	O
sentenced	O
him	O
to	O
be	O
castrated	O
according	O
to	O
the	O
law	O
in	O
that	O
behalf	O
provided	O
,	O
by	O
a	O
